No,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate per 100.000 Penduduk,Meninggal,CFR (%)
1,Aceh,5529773,2079,37.60,16,0.77
2,Sumatera Utara,15107226,8541,56.54,60,0.70
3,Sumatera Barat,5675357,4024,70.90,15,0.37
4,Riau,7181300,2370,33.00,18,0.76
5,Jambi,3677678,1378,37.47,9,0.65
6,Sumatera Selatan,8803213,2854,32.42,31,1.09
7,Bengkulu,2038146,1339,65.70,14,1.05
8,Lampung,8683167,4662,53.69,15,0.32
9,Kepulauan Bangka Belitung,1506505,1887,125.26,30,1.59
10,Kepulauan Riau,2449422,2235,91.25,13,0.58
11,DKI Jakarta,10711809,8138,75.97,0,0.00
12,Jawa Barat,50639156,36608,72.29,305,0.83
13,Jawa Tengah,35090378,12476,35.55,260,2.08
14,DI Yogyakarta,4021816,2164,53.81,18,0.83
15,Jawa Timur,40348441,13235,32.80,154,1.16
16,Banten,13251533,5283,39.87,33,0.62
17,Bali,4518680,5761,127.49,16,0.28
18,Nusa Tenggara Barat,5370302,3260,60.70,8,0.25
19,Nusa Tenggara Timur,5662948,3096,54.67,25,0.81
20,Kalimantan Barat,5220211,1384,26.51,15,1.08
21,Kalimantan Tengah,2757697,890,32.27,8,0.90
22,Kalimantan Selatan,4370444,1014,23.20,8,0.79
23,Kalimantan Timur,3752605,5887,156.88,39,0.66
24,Kalimantan Utara,734112,1331,181.31,15,1.13
25,Sulawesi Utara,2548338,2206,86.57,25,1.13
26,Sulawesi Tengah,3159749,1883,59.59,15,0.80
27,Sulawesi Selatan,9022276,3562,39.48,25,0.70
28,Sulawesi Tenggara,2782882,918,32.99,17,1.85
29,Gorontalo,1205341,580,48.12,11,1.90
30,Sulawesi Barat,1415130,676,47.77,4,0.59
31,Maluku,1823518,96,5.26,0,0.00
32,Maluku Utara,1285374,623,48.47,8,1.28
33,Papua Barat,1031676,293,28.40,2,0.68
34,Papua,3482891,533,15.30,5,0.94
Total,Indonesia,274859094,143266,52.12,1237,0.86
