No,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate per 100.000 Penduduk,Meninggal,CFR (%)
1,Aceh,5669606,3450,60.85,21,0.6
2,Sumatera Utara,15405644,9366,60.80,58,0.6
3,Sumatera Barat,5802172,2823,48.65,12,0.4
4,Riau,7410230,3206,43.26,19,0.6
5,Jambi,3748137,2321,61.92,3,0.1
6,Sumatera Selatan,9000101,6263,69.59,37,0.6
7,Bengkulu,2080246,3103,149.17,16,0.5
8,Lampung,8824030,9068,102.76,30,0.3
9,Kepulauan Bangka Belitung,1542390,1914,124.09,23,1.2
10,Kepulauan Riau,2594369,1685,64.95,16,0.9
11,DKI Jakarta,10835148,13276,122.53,30,0.2
12,Jawa Barat,51701460,61423,118.80,339,0.6
13,Jawa Tengah,35420092,17636,49.79,257,1.5
14,DI Yogyakarta,4126444,4027,97.59,10,0.2
15,Jawa Timur,40703833,32086,78.83,264,0.8
16,Banten,13600575,13727,100.93,48,0.3
17,Bali,4622547,15570,336.83,25,0.2
18,Nusa Tenggara Barat,5511473,4218,76.53,7,0.2
19,Nusa Tenggara Timur,5807691,3987,68.65,29,0.7
20,Kalimantan Barat,5332218,2529,47.43,23,0.9
21,Kalimantan Tengah,2827450,4015,142.00,22,0.5
22,Kalimantan Selatan,4469992,3232,72.30,16,0.5
23,Kalimantan Timur,3837948,10902,284.06,20,0.2
24,Kalimantan Utara,760222,644,84.71,7,1.1
25,Sulawesi Utara,2581013,4826,186.98,29,0.6
26,Sulawesi Tengah,3236561,2473,76.41,10,0.4
27,Sulawesi Selatan,9150274,6043,66.04,27,0.4
28,Sulawesi Tenggara,2862285,4867,170.04,24,0.5
29,Gorontalo,1223639,2319,189.52,23,1.0
30,Sulawesi Barat,1451058,2491,171.67,4,0.2
31,Maluku,1859254,398,21.41,4,1.0
32,Maluku Utara,1318213,1089,82.61,6,0.6
33,Papua,888142,481,54.16,0,0.0
34,Papua Barat,491895,325,66.07,2,0.6
35,Papua Selatan,515717,0,0.00,0,0.0
36,Papua Tengah,1017614,976,95.91,0,0.0
37,Papua Pegunungan,1080522,249,23.04,0,0.0
38,Papua Barat Daya,539781,263,48.72,0,0.0
Total,Indonesia,279849986,257271,91.93,1461,0.57
